,timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3,Hour_Minute,Date
0,2014-11-23 14:00:00,-5.81192541821821,0,0,1,-6.81192541821821,0.0,0.0,0.0,14:00:00,2014-11-23
1,2014-11-23 15:00:00,268.011028819866,0,0,2,40.429915480046,146.1,72.0552221565418,7.42589118327827,15:00:00,2014-11-23
2,2014-11-23 16:00:00,396.13392455713995,0,0,3,-13.9600950149367,253.052622985813,139.2,14.8413965862639,16:00:00,2014-11-23
3,2014-11-23 17:00:00,502.266593412634,0,0,4,-13.028079423818,292.2,196.858527882335,22.2361449541169,17:00:00,2014-11-23
4,2014-11-23 18:00:00,592.295275837769,0,0,5,63.54138637578,253.052622985813,241.101472413588,29.599794062588202,18:00:00,2014-11-23
5,2014-11-23 19:00:00,462.068641507821,0,0,6,4.13284628638917,146.1,268.91375003887697,36.9220451825548,19:00:00,2014-11-23
6,2014-11-23 20:00:00,-361.34347383067706,1,0,7,-7.24991406572871,3.57841794710857e-14,278.4,44.192657483724005,20:00:00,2014-11-23
7,2014-11-23 21:00:00,234.84070749064998,0,0,8,52.62549509441279,-146.1,268.91375003887697,51.4014623573606,21:00:00,2014-11-23
8,2014-11-23 22:00:00,38.1779944992294,0,0,9,-17.409232566551,-253.052622985813,241.101472413588,58.5383776380056,22:00:00,2014-11-23
9,2014-11-23 23:00:00,-21.4137196960519,0,0,10,-1.66566928268294,-292.2,196.858527882335,65.5934217042962,23:00:00,2014-11-23
10,2014-11-24 00:00:00,-26.4162653115633,0,0,11,3.8796302350836496,-253.052622985813,139.2,72.5567274391661,00:00:00,2014-11-24
11,2014-11-24 01:00:00,-20.7360353987377,0,0,12,-38.10981358518,-146.1,72.05522215654192,79.41855602990059,01:00:00,2014-11-24
12,2014-11-24 02:00:00,162.447097381817,0,0,13,63.2777867930702,-7.156835894217129e-14,3.40941668882623e-14,86.1693105887471,02:00:00,2014-11-24
13,2014-11-24 03:00:00,261.77765462021,0,0,14,80.93332720172191,146.1,-72.0552221565418,92.7995495750301,03:00:00,2014-11-24
14,2014-11-24 04:00:00,265.355690743977,0,0,15,37.2030677581641,253.052622985813,-139.2,99.3,04:00:00,2014-11-24
15,2014-11-24 05:00:00,202.795865074766,0,0,16,-14.2071774388451,292.2,-196.858527882335,105.661570395946,05:00:00,2014-11-24
16,2014-11-24 06:00:00,153.47242154343098,0,0,17,12.6459074397703,253.052622985813,-241.101472413588,111.875363531435,06:00:00,2014-11-24
17,2014-11-24 07:00:00,31.549007208281,0,0,18,18.4300683922602,146.1,-268.91375003887697,117.93268885489701,07:00:00,2014-11-24
18,2014-11-24 08:00:00,-155.715081440264,0,0,19,-20.140156089409,1.0735253841325698e-13,-278.4,123.825074649144,08:00:00,2014-11-24
19,2014-11-24 09:00:00,-179.638486250667,0,0,20,85.8309839083743,-146.1,-268.91375003887697,129.544279879835,09:00:00,2014-11-24
20,2014-11-24 10:00:00,-331.880443464082,0,0,21,6.19134621401366,-253.052622985813,-241.101472413588,135.082305721305,10:00:00,2014-11-24
21,2014-11-24 11:00:00,-352.763266488492,0,0,22,-26.136145349805304,-292.2,-196.858527882335,140.43140674364798,11:00:00,2014-11-24
22,2014-11-24 12:00:00,-230.45311348305302,0,0,23,-6.784592242643269,-253.052622985813,-139.2,145.58410174540398,12:00:00,2014-11-24
